date,open,high,low,close,volume
2020-07-16,17.030001,17.190001,14.37,15.51,7615800
2020-07-17,15.37,17.9,15.37,16.700001,1036800
2020-07-20,16.129999,17.18,16.09,17,424900
2020-07-21,16.9,17.299999,16.6,16.83,301500
2020-07-22,16.85,17.205,16.4,16.5,100500
2020-07-23,16.790001,16.795,15.5,16.24,176000
2020-07-24,16.16,16.16,15.5,16.02,168800
2020-07-27,15.74,16.469999,15.7,15.72,85200
2020-07-28,15.7,16.037001,15,15.27,117600
2020-07-29,15.315,15.815,15.225,15.65,98400
2020-07-30,15.35,15.99,15.11,15.33,13600
2020-07-31,15.19,15.79,15.05,15.6,76300
2020-08-03,15.56,16.35,15.35,16.120001,168700
2020-08-04,16.120001,16.76,15.96,16.23,62100
2020-08-05,16.049999,16.6,16.049999,16.32,26700
2020-08-06,16.450001,16.549999,16.200001,16.389999,191000
2020-08-07,16.35,16.709999,15.55,16.4,80500
2020-08-10,16.200001,16.73,16.200001,16.549999,81600
2020-08-11,16.469999,17.16,16.285,16.92,106800
2020-08-12,16.879999,17.5,16.620001,17.08,177600
2020-08-13,17.1,17.309999,16.5,16.700001,77400
2020-08-14,17,17.48,16.02,16.49,209300
2020-08-17,16.540001,16.610001,15.4,15.79,106000
2020-08-18,15.63,16.99,15.62,16.559999,91200
2020-08-19,16.98,17.334999,16.129999,16.76,150100
2020-08-20,16.559999,17.08,15.61,16.76,81100
2020-08-21,16.690001,16.76,15.95,16.639999,111500
2020-08-24,16.780001,17.32,16.24,17.059999,57600
2020-08-25,17.01,17.33,16.43,16.700001,86700
2020-08-26,16.76,17.200001,16.209999,16.34,87400
2020-08-27,16.52,16.993,16.23,16.799999,133400
2020-08-28,17.35,17.35,15.4,16.16,225200
2020-08-31,15.97,16.360001,15.4,15.65,141300
2020-09-01,15.65,16.065001,15.14,15.56,160900
2020-09-02,15.49,15.73,14.86,14.99,148600
2020-09-03,15.06,15.06,13.46,13.61,222200
2020-09-04,13.76,13.84,12.89,13.5,196500
2020-09-08,13.38,15.6,13.265,14.25,145900
2020-09-09,14.25,15.35,14.25,14.92,129000
2020-09-10,15.06,15.59,14.58,14.94,123600
2020-09-11,15.05,15.78,14.275,15.12,88200
2020-09-14,15.21,15.46,13.76,13.85,126200
2020-09-15,13.77,14.19,13.09,13.41,174700
2020-09-16,13.38,13.75,12.23,12.47,271700
2020-09-17,12.22,12.52,11.68,12.28,355500
2020-09-18,12.32,13.245,12,12.15,1704100
2020-09-21,12.13,12.51,11.91,12.31,149500
2020-09-22,12.17,12.67,12.06,12.28,106200
2020-09-23,12.06,12.42,11.81,12.03,105000
2020-09-24,12.07,12.63,11.79,12.11,102200
2020-09-25,12.09,12.39,11.97,12.26,214800
2020-09-28,12.39,12.89,12.39,12.78,37200
2020-09-29,12.82,14.43,12.82,14.33,142500
2020-09-30,14.48,15.68,14.43,15.25,141500
2020-10-01,15.4,15.4,14.56,15.35,153500
2020-10-02,15.17,15.17,14.29,15.05,73900
2020-10-05,15.14,15.46,13.98,15.11,54400
2020-10-06,15.24,15.49,14.23,15.45,145900
2020-10-07,15.43,15.45,14.68,15.19,75700
2020-10-08,15.25,15.25,14.24,14.71,68200
2020-10-09,14.79,14.85,14.25,14.68,69700
2020-10-12,14.59,14.91,14.195,14.73,85600
2020-10-13,14.6,15.09,14.08,14.33,87300
2020-10-14,13.935,14.41,13.935,13.94,20300
2020-10-15,13.82,14.77,13.575,14.26,34200
2020-10-16,14.06,14.1,13.58,13.7,31000
2020-10-19,14.565,15.2,13.15,13.28,21400
2020-10-20,13.45,13.645,12.5,13.19,73200
2020-10-21,13.06,14.135,12.75,13.79,55500
2020-10-22,13.64,13.72,12.5,13,95200
2020-10-23,12.58,13.84,12.58,13.38,70500
2020-10-26,13.25,13.57,12.3,12.81,35200
2020-10-27,12.96,13.455,12.06,12.39,23200
2020-10-28,12.06,12.73,11.2,12.14,63200
2020-10-29,12.04,12.16,11.11,11.3,71900
2020-10-30,11.06,11.72,10.52,10.85,181600
2020-11-02,10.97,11.3,10.437,10.59,89800
2020-11-03,10.7,11.5,10.45,10.53,60300
2020-11-04,10.38,11.36,10.34,10.74,34800
2020-11-05,10.79,11.28,10.54,10.54,46000
2020-11-06,10.6,11.66,9.9,10.11,43200
2020-11-09,11.32,11.6,10.48,10.58,89500
2020-11-10,10.79,11.08,10.5,10.71,112100
2020-11-11,10.74,11.04,10.74,10.92,148100
2020-11-12,11,11.03,10.28,10.71,89000
2020-11-13,11.35,13.6,11.19,13.09,381400
2020-11-16,13.32,14.23,13.22,13.55,139600
2020-11-17,13.3,13.95,12.485,12.64,180400
2020-11-18,12.83,14.51,12.645,14.1,164000
2020-11-19,14.01,14.39,13.51,14,116200
2020-11-20,13.6,14.2,13.52,13.99,53400
2020-11-23,14.1,14.75,14.04,14.43,65800
2020-11-24,14.76,15.03,14.59,14.9,41400
2020-11-25,14.77,15.09,14.09,14.84,38000
