date,open,high,low,close,volume
2018-10-12,24.25,24.700001,21.459999,24.299999,15086200
2018-10-15,23.120001,24.5,22.18,24.299999,1572200
2018-10-16,24.5,24.66,22.57,23.02,1297300
2018-10-17,22.76,26.969999,22.75,25.43,1149900
2018-10-18,26.07,26.200001,24.01,24.5,1639600
2018-10-19,24.75,25.959999,24.059999,24.48,280100
2018-10-22,24.42,25.25,24.129999,24.51,194900
2018-10-23,24.01,24.5,23.549999,23.9,458800
2018-10-24,23.639999,24.33,22.5,22.549999,677600
2018-10-25,22.75,24.1,22.629999,23.870001,482400
2018-10-26,23.59,26.389999,22.799999,24.610001,458700
2018-10-29,24.950001,25.58,22.15,22.639999,422500
2018-10-30,22.75,23.129999,20.370001,22.610001,936700
2018-10-31,23,23.6,22.32,23,383700
2018-11-01,23.059999,24.49,21.719999,24.049999,436200
2018-11-02,23.93,24.959999,23.25,24.74,420100
2018-11-05,24.74,24.969999,22.9,23.92,227300
2018-11-06,23.68,24.389999,23.02,23.700001,222400
2018-11-07,23.799999,27.299999,23.799999,26.610001,553100
2018-11-08,26.629999,27.07,25.75,25.75,261400
2018-11-09,25.65,25.65,23.6,24.219999,354000
2018-11-12,24.030001,24.209999,22.4,22.719999,452300
2018-11-13,22.75,23.049999,22.129999,22.690001,228200
2018-11-14,22.75,23.42,22.6,22.93,144800
2018-11-15,22.98,23.280001,22.440001,23.040001,279000
2018-11-16,22.860001,24.48,22.77,24.129999,366400
2018-11-19,24.17,24.450001,21.6,22.969999,723400
2018-11-20,22.610001,22.610001,20.6,21,583300
2018-11-21,21.33,21.549999,20.870001,20.950001,472700
2018-11-23,21,21.799999,20.77,21.459999,153400
2018-11-26,21.76,22.57,21.139999,22.4,418900
2018-11-27,22.32,22.52,21.709999,22.5,290600
2018-11-28,24.23,25,20.790001,25,1329400
2018-11-29,24.68,26.65,24.42,26.139999,435300
2018-11-30,26.049999,28.33,25.49,28,518200
2018-12-03,28.549999,29.700001,26.549999,27.959999,818400
2018-12-04,27.719999,28.059999,26.780001,27.66,556200
2018-12-06,27,29.15,26.620001,28.83,651700
2018-12-07,28.85,29.219999,27.48,27.530001,646300
2018-12-10,27.440001,28.200001,26.200001,27.299999,525100
2018-12-11,27.879999,28,25.209999,25.5,658000
2018-12-12,25.91,26.59,24.860001,25.67,717900
2018-12-13,25.879999,27.360001,25.879999,26.75,479000
2018-12-14,26.27,28.110001,25.780001,27.9,448200
2018-12-17,27.74,27.74,24.809999,25.139999,778600
2018-12-18,25.16,26.24,24.940001,25.77,407100
2018-12-19,25.58,26.200001,24.629999,24.879999,571100
2018-12-20,24.52,25.389999,23.370001,25.1,899300
2018-12-21,25.17,25.17,23.969999,24.629999,2859300
2018-12-24,24.51,24.610001,23.65,24.41,101800
2018-12-26,24.690001,26.42,24.57,26.23,247600
2018-12-27,25.940001,27.129999,25.34,27.040001,242600
2018-12-28,27.15,27.459999,26.01,27.17,292500
2018-12-31,27.299999,27.99,26,26.540001,713700
2019-01-02,26.15,26.459999,25.129999,25.91,718700
2019-01-03,25.59,25.809999,23.83,24,472300
2019-01-04,24.34,24.9,23.780001,24.1,434500
2019-01-07,24.370001,26.299999,24.25,26,522800
2019-01-08,26.299999,27.459999,26.17,27.200001,355400
2019-01-09,27.33,28.139999,27.18,27.799999,331900
2019-01-10,27.700001,28.09,27,27.9,186700
2019-01-11,27.709999,28.85,27.35,28.549999,373200
