date,open,high,low,close,volume
2016-12-08,12,15,11,12,20600
2016-12-09,12,12,12,12,0
2016-12-12,12,12,12,12,0
2016-12-13,12.25,12.3,12,12,1700
2016-12-14,10.05,10.75,10.05,10.75,7000
2016-12-15,10.55,11.25,10.55,11.25,11400
2016-12-16,11.25,11.25,10.75,10.8,600
2016-12-19,11.25,11.4,11.25,11.4,3000
2016-12-20,12,14,12,14,3800
2016-12-21,14.18,14.18,14,14,3200
2016-12-22,11,11,11,11,200
2016-12-23,12.75,12.75,12.5,12.5,7600
2016-12-27,12.5,12.5,12.5,12.5,0
2016-12-28,12.5,12.5,12.5,12.5,0
2016-12-29,12.4,12.4,12.4,12.4,400
2016-12-30,12.4,12.4,12.4,12.4,0
2017-01-03,12.5,12.5,12.5,12.5,200
2017-01-04,12.5,12.5,12.5,12.5,0
2017-01-05,13,13,13,13,1700
2017-01-06,13,13,13,13,0
2017-01-09,13.25,13.25,13.25,13.25,200
2017-01-10,13.25,13.25,13.25,13.25,0
2017-01-11,13.26,13.26,13.26,13.26,500
2017-01-12,16,16,13.9,14,37100
2017-01-13,14,14,14,14,0
2017-01-17,15,15,13.55,13.55,1100
2017-01-18,13.55,13.55,13.55,13.55,0
2017-01-19,14,14,14,14,800
2017-01-20,15,15,14,14,7400
2017-01-23,14,14,14,14,0
2017-01-24,14.2,14.2,14,14,15500
2017-01-25,13.75,13.95,13.75,13.95,600
2017-01-26,13.95,13.95,13.95,13.95,100
2017-01-27,14,14,14,14,3000
2017-01-30,14,14.1,13.95,14.1,160500
2017-01-31,14.05,14.05,14.05,14.05,21500
2017-02-01,14.05,14.05,14.05,14.05,0
2017-02-02,14.05,14.05,14.05,14.05,0
2017-02-03,14.05,14.05,14.05,14.05,0
2017-02-06,14.05,14.05,14.05,14.05,0
2017-02-07,13.95,14.2,13.95,14.2,82800
2017-02-08,14,14,14,14,200
2017-02-09,14,14,14,14,0
2017-02-10,14.4,14.4,14.25,14.25,1100
2017-02-13,14.25,14.25,14.25,14.25,0
2017-02-14,14.25,14.25,14.25,14.25,0
2017-02-15,14.25,14.25,14.25,14.25,0
2017-02-16,14.25,14.25,14.25,14.25,0
2017-02-17,14.35,14.35,13.9,14.15,51700
2017-02-21,14.15,14.15,14.15,14.15,400
2017-02-22,14.15,14.15,14.15,14.15,0
2017-02-23,14.4,14.4,14,14,114300
2017-02-24,14,14,14,14,0
2017-02-27,14,14,14,14,0
2017-02-28,14,14,14,14,0
2017-03-01,14,14.1,14,14.1,3000
2017-03-02,14,14.2,13.95,14.05,18700
2017-03-03,13.8,13.8,13.8,13.8,100
2017-03-06,13.61,13.61,13.55,13.55,400
2017-03-07,13.5,13.5,13.5,13.5,3600
2017-03-08,13.5,13.5,13.5,13.5,8800
2017-03-09,13.45,13.45,13.05,13.05,200
2017-03-10,13.05,13.05,13,13,21500
2017-03-13,13,13,13,13,100
2017-03-14,12.5,12.5,12.5,12.5,400
2017-03-15,13.5,13.5,13.5,13.5,9700
2017-03-16,13.5,13.5,13.5,13.5,500
2017-03-17,13.79,14,13.79,14,500
2017-03-20,14,14,14,14,1400
2017-03-21,14.2,14.35,14.2,14.35,400
2017-03-22,14.35,14.35,14.35,14.35,0
2017-03-23,14.75,14.75,14.31,14.31,38900
2017-03-24,14.5,14.5,14.38,14.38,40100
2017-03-27,14.4,14.5,14.25,14.5,19900
2017-03-28,14.5,14.75,14.5,14.75,200
2017-03-29,14.4,14.4,14.4,14.4,18500
2017-03-30,14.4,14.5,13.66,13.66,26800
