date,open,high,low,close,volume
2020-06-05,18.299999,18.5,15.24,15.99,7825900
2020-06-08,17.08,17.49,16.25,17,2676100
2020-06-09,17.299999,17.49,15.7,16.040001,1749100
2020-06-10,16.15,16.75,14.8,15.25,3954000
2020-06-11,14.75,15.1,14.67,14.75,1108000
2020-06-12,15.01,15.1,14.7,14.75,652900
2020-06-15,14.69,15.3,14.6,15,1456800
2020-06-16,15.48,16.75,15.11,16.75,1085500
2020-06-17,16.75,20.18,16.75,20.120001,3992300
2020-06-18,21.275,23,19.379999,22.469999,4652100
2020-06-19,22.32,23.959999,20.950001,22.120001,1797800
2020-06-22,22.58,22.700001,20.000999,20.129999,1457400
2020-06-23,20.709999,21.98,20.562,21.950001,1293400
2020-06-24,21.5,24.620001,20.195,20.9,2631900
2020-06-25,21.25,24.889999,20.25,24.59,2210000
2020-06-26,23.809999,25.059999,22.299999,24.940001,1325100
2020-06-29,25.129999,25.5,21,21.120001,2393400
2020-06-30,22,23.57,21.66,22.299999,1954300
2020-07-01,22.42,23.93,21.57,23.15,1675700
2020-07-02,23.700001,26.4,23.700001,26.379999,2028600
2020-07-06,27.690001,29,26.610001,27.690001,2358200
2020-07-07,27.68,27.77,25.629999,26.26,1150000
2020-07-08,27,30.59,26.799999,29.780001,1668600
2020-07-09,30.4,34.939999,30.4,32.419998,2611100
2020-07-10,32.240002,32.59,30.6,30.84,1142600
2020-07-13,30.85,31.75,27.5,27.780001,1549200
2020-07-14,27.290001,27.780001,25,26.68,1114700
2020-07-15,27.290001,29.632999,27.1,29.48,795400
2020-07-16,27.299999,28.16,26.35,26.6,1079200
2020-07-17,27.32,27.32,26.233,26.93,451300
2020-07-20,27.025,27.879999,25.57,27.33,722600
2020-07-21,27.370001,28.309999,27.01,27.889999,471200
2020-07-22,27,27.49,25.889999,26.99,547800
2020-07-23,27.030001,27.27,25.280001,25.59,696800
2020-07-24,24.389999,24.389999,21.809999,22.92,1351400
2020-07-27,23.120001,23.200001,21.52,21.889999,492000
2020-07-28,21.889999,23.780001,21.889999,22.77,565000
2020-07-29,23,24.200001,23,23.540001,358900
2020-07-30,23.4,23.9,22.6,23.24,252100
2020-07-31,23.07,24.1,22.66,23.15,336700
2020-08-03,23.58,25.799999,23.5,25.700001,606500
2020-08-04,26.129999,28.49,26,27.700001,961000
2020-08-05,28,28.399,26.18,27.940001,498600
